总字数为733605 红楼梦 共有12章 
955  金         51   48705 
956  念书        51   48756 
957  胡说        51   48807 
958  来看        51   48858 
959  不自在       51   48909 
960  不大        51   48960 
961  此事        50   48050 
962  何不        50   48100 
963  两边        50   48150 
964  伸手        50   48200 
965  斟         50   48250 
966  惟有        50   48300 
967  错         50   48350 
968  天下        50   48400 
969  荣府        50   48450 
970  学         50   48500 
971  自去        50   48550 
972  爷们        50   48600 
973  赌气        50   48650 
974  富贵        49   47726 
975  汤         49   47775 
976  不同        49   47824 
977  勉强        49   47873 
978  嘴里        49   47922 
979  听得        49   47971 
980  两句        49   48020 
981  退出        49   48069 
982  本         49   48118 
983  躲         49   48167 
984  从前        49   48216 
985  受用        49   48265 
986  回说        49   48314 
987  利害        49   48363 
988  点         49   48412 
989  泪来        49   48461 
990  园内        49   48510 
991  娘娘        49   48559 
992  兴儿        49   48608 
993  说些        48   47664 
994  托         48   47712 
995  古人        48   47760 
996  上下        48   47808 
997  不错        48   47856 
998  天         48   47904 
999  文章        48   47952 
1000 口里        48   48000 
1001 一应        48   48048 
1002 没见        48   48096 
1003 唱         48   48144 
1004 迎         48   48192 
1005 个人        48   48240 
1006 逛逛        48   48288 
1007 觉         48   48336 
1008 使不得       48   48384 
1009 一辈子       48   48432 
1010 满         48   48480 
1011 诧异        48   48528 
1012 一首        47   47564 
1013 银         47   47611 
1014 一行        47   47658 
1015 人去        47   47705 
1016 妹子        47   47752 
1017 姑奶奶       47   47799 
1018 真真        47   47846 
1019 撵         47   47893 
1020 照看        47   47940 
1021 来到        47   47987 
1022 这句        47   48034 
1023 翠缕        47   48081 
1024 造化        47   48128 
1025 柳家        47   48175 
1026 按         46   47196 
1027 不尽        46   47242 
1028 大小        46   47288 
1029 据         46   47334 
1030 更加        46   47380 
1031 抬         46   47426 
1032 忙忙        46   47472 
1033 大红        46   47518 
1034 一条        46   47564 
1035 卖         46   47610 
1036 自有        46   47656 
1037 动         46   47702 
1038 急忙        46   47748 
1039 那宝玉       46   47794 
1040 之间        46   47840 
1041 体面        46   47886 
1042 除了        46   47932 
1043 这事        46   47978 
1044 从小儿       46   48024 
1045 早起        46   48070 
1046 带领        46   48116 
1047 王爷        46   48162 
1048 紫鹃道       46   48208 
1049 反倒        45   47205 
1050 风流        45   47250 
1051 亲友        45   47295 
1052 来往        45   47340 
1053 取笑        45   47385 
1054 头上        45   47430 
1055 歇歇        45   47475 
1056 碗         45   47520 
1057 背地里       45   47565 
1058 眼         45   47610 
1059 睡觉        45   47655 
1060 ......    45   47700 
1061 老子        45   47745 
1062 送到        45   47790 
1063 司棋        45   47835 
1064 仗         45   47880 
1065 不好意思      45   47925 
1066 洗         45   47970 
1067 那么        45   48015 
1068 王二夫人      45   48060 
1069 太监        45   48105 
1070 低头        45   48150 
1071 答言        45   48195 
1072 扇子        45   48240 
1073 看来        44   47212 
1074 梦         44   47256 
1075 指着        44   47300 
1076 彼此        44   47344 
1077 烧         44   47388 
1078 夫人        44   47432 
1079 入         44   47476 
1080 常         44   47520 
1081 桌上        44   47564 
1082 藏         44   47608 
1083 细细的       44   47652 
1084 小孩子       44   47696 
1085 两天        44   47740 
1086 认真        44   47784 
1087 花儿        44   47828 
1088 房子        44   47872 
1089 -         43   46827 
1090 不妨        43   46870 
1091 寺         43   46913 
1092 上房        43   46956 
1093 每人        43   46999 
1094 打死        43   47042 
1095 说出        43   47085 
1096 慌         43   47128 
1097 理         43   47171 
1098 惜         43   47214 
1099 打开        43   47257 
1100 不吃        43   47300 
1101 吃了饭       43   47343 
1102 问问        43   47386 
1103 能够        43   47429 
1104 北静王       43   47472 
1105 蹄子        43   47515 
1106 玉钏儿       43   47558 
1107 道人        42   46494 
1108 再者        42   46536 
1109 旧         42   46578 
1110 复         42   46620 
1111 鬼         42   46662 
1112 抬头        42   46704 
1113 归         42   46746 
1114 二字        42   46788 
1115 巴不得       42   46830 
1116 见过        42   46872 
1117 细细        42   46914 
1118 告辞        42   46956 
1119 舅舅        42   46998 
1120 一边        42   47040 
1121 旁         42   47082 
1122 带来        42   47124 
1123 言         42   47166 
1124 榻         42   47208 
1125 没个        42   47250 
1126 金钏儿       42   47292 
1127 歪         42   47334 
1128 够         42   47376 
1129 一碗        42   47418 
1130 一头        42   47460 
1131 往前        42   47502 
1132 听听        42   47544 
1133 使唤        42   47586 
1134 大哭        41   46494 
1135 兼         41   46535 
1136 笑道        41   46576 
1137 回房        41   46617 
1138 夫妻        41   46658 
1139 立刻        41   46699 
1140 淘气        41   46740 
1141 贾府        41   46781 
1142 阿弥陀佛      41   46822 
1143 姑妈        41   46863 
1144 在内        41   46904 
1145 何曾        41   46945 
1146 挑         41   46986 
1147 近来        41   47027 
1148 倒好        41   47068 
1149 磕         41   47109 
1150 外人        41   47150 
1151 讨         41   47191 
1152 端         41   47232 
1153 即刻        41   47273 
1154 戏         41   47314 
1155 拍手        41   47355 
1156 撂         41   47396 
1157 曰         40   46280 
1158 门外        40   46320 
1159 何处        40   46360 
1160 水         40   46400 
1161 祖宗        40   46440 
1162 进京        40   46480 
1163 窗外        40   46520 
1164 抢         40   46560 
1165 谁家        40   46600 
1166 余者        40   46640 
1167 行         40   46680 
1168 厅         40   46720 
1169 不解        40   46760 
1170 容易        40   46800 
1171 撞         40   46840 
1172 俗语说       40   46880 
1173 借         40   46920 
1174 师父        40   46960 
1175 丰儿        40   47000 
1176 安慰        40   47040 
1177 搬         40   47080 
1178 不算        40   47120 
1179 操心        40   47160 
1180 赶忙        40   47200 
1181 纵         39   46059 
1182 一种        39   46098 
1183 神         39   46137 
1184 这日        39   46176 
1185 家去        39   46215 
1186 今见        39   46254 
1187 幸而        39   46293 
1188 端的        39   46332 
1189 回明        39   46371 
1190 偶然        39   46410 
1191 道士        39   46449 
1192 不到        39   46488 
1193 张         39   46527 
1194 馆         39   46566 
1195 疑惑        39   46605 
1196 独有        39   46644 
1197 二门        39   46683 
1198 照管        39   46722 
1199 银钱        39   46761 
1200 领         39   46800 
1201 孝敬        39   46839 
1202 醒         39   46878 
1203 贾瑞        39   46917 
1204 远远        38   45752 
1205 望         38   45790 
1206 女子        38   45828 
1207 省         38   45866 
1208 改         38   45904 
1209 金陵        38   45942 
1210 说来        38   45980 
1211 小心        38   46018 
